CD_NAME,NCBI_NAME,GeneID,Synonyms,map_location,description,Other_designations
CD228,MELTF,4241,CD228 MAP97 MFI2 MTF1 MTf,3q29,melanotransferrin,melanotransferrin; antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5; melanoma-associated antigen p97; membrane-bound transferrin-like protein
CD229,LY9,4063,CD229 SLAMF3 hly9 mLY9,1q23.3,lymphocyte antigen 9,T-lymphocyte surface antigen Ly-9; SLAM family member 3; cell surface molecule Ly-9; signaling lymphocytic activation molecule 3
CD230,PRNP,5621,ASCR AltPrP CD230 CJD GSS KURU PRIP PrP PrP27-30 PrP33-35C PrPc p27-30,20p13,prion protein,major prion protein; alternative prion protein; CD230 antigen; prion-related protein
CD231,TSPAN7,7102,A15 CCG-B7 CD231 DXS1692E MRX58 MXS1 TALLA-1 TM4SF2 TM4SF2b,Xp11.4,tetraspanin 7,"tetraspanin-7; CD231 antigen; T-cell acute lymphoblastic leukemia associated antigen 1; cell surface glycoprotein A15; membrane component chromosome X surface marker 1; membrane component, X chromosome, surface marker 1; tetraspanin protein; transmembrane 4 superfamily 2b; transmembrane 4 superfamily member 2; transmembrane protein A15; tspan-7"
CD232,PLXNC1,10154,CD232 PLXN-C1 VESPR,12q22,plexin C1,plexin-C1; plexin (semaphorin receptor); receptor for viral semaphorin protein; receptor for virally-encoded semaphorin; virus-encoded semaphorin protein receptor
CD233,SLC4A1,6521,AE1 BND3 CD233 CHC DI EMPB3 EPB3 FR RTA1A SAO SPH4 SW WD WD1 WR,17q21.31,solute carrier family 4 member 1 (Diego blood group),"band 3 anion transport protein; Diego blood group; Froese blood group; Swann blood group; Waldner blood group; Wright blood group; anion exchange protein 1; anion exchanger-1; erythrocyte membrane protein band 3; erythroid anion exchange protein; solute carrier family 4 (anion exchanger), member 1 (Diego blood group); solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group); solute carrier family 4, anion exchanger, number 1"
CD234,ACKR1,2532,CCBP1 CD234 DARC DARC/ACKR1 Dfy FY GPD GpFy WBCQ1,1q23.2,atypical chemokine receptor 1 (Duffy blood group),"atypical chemokine receptor 1; Duffy antigen chemokine receptor; Duffy blood group antigen; Duffy blood group system protein; Duffy blood group, chemokine receptor; Fy glycoprotein; glycoprotein D; plasmodium vivax receptor"
CD235a,GYPA,2993,CD235a GPA GPErik GPSAT HGpMiV HGpMiXI HGpSta(C) MN MNS PAS-2,4q31.21,glycophorin A (MNS blood group),"glycophorin-A; MN sialoglycoprotein; Mi.V glycoprotein (24 AA); erythroid-lineage-specific membrane sialoglycoprotein; glycophorin A (MN blood group); glycophorin A, GPA; glycophorin Erik; glycophorin MiI; glycophorin MiV; glycophorin SAT; glycophorin Sta type C; recombinant glycophorin A-B Miltenberger-DR; sialoglycoprotein alpha"
CD235b,GYPB,2994,CD235b GPB GYP MNS PAS-3 SS,4q31.21,glycophorin B (MNS blood group),"glycophorin-B; GYPB-A fusion; GYPB-A-B fusion; GYPB/GYPA fusion; SS-active sialoglycoprotein; Ss blood group; blood group system MNSs, Mur-like; blood group system MNSs, St(a) type E; blood group system MNSs, St(a) type F; glycophorin B, blood group system Ss, S, Mit+; glycophorin B/glycophorin A fusion protein; glycophorin Hop; hybrid glycophorin Kip; sialoglycoprotein delta"
CD236,GYPC,2995,CD236 CD236R GE GE:GPC:GPD:GYPD GPC GPD GYPD PAS-2 PAS-2',2q14.3,glycophorin C (Gerbich blood group),glycophorin-C; glycoconnectin; glycophorin-D; glycoprotein beta; sialoglycoprotein D
CD238,KEL,3792,CD238 ECE3,7q34,"Kell blood group, metallo-endopeptidase",kell blood group glycoprotein; kell blood group antigen
CD239,BCAM,4059,AU CD239 LU MSK19,19q13.32,basal cell adhesion molecule (Lutheran blood group),basal cell adhesion molecule; Auberger b antigen; B-CAM cell surface glycoprotein; B-cell adhesion molecule; F8/G253 antigen; Lutheran blood group variant LUGA; basal cell adhesion molecule (Lu and Au blood groups)
CD240CE,RHCE,6006,CD240CE RH RH30A RHC RHCe(152N) RHE RHIXB RHPI Rh4 RhIVb(J) RhVI RhVIII,1p36.11,Rh blood group CcEe antigens,"blood group Rh(CE) polypeptide; (C)ces type 1 Rhesus blood group D antigen; RHCE blood group variant Crawford antigen Rh43; Rh blood group C antigen; Rh blood group CE antigen; Rh blood group CcEe antigen; Rh blood group antigen Evans; Rh blood group protein; Rh polypeptide I; RhCE blood group antigens; Rhesus blood group CE protein; Rhesus blood group E antigen; Rhesus blood group Rhce antigen; Rhesus system C and E polypeptides; blood group RhCE polypeptide; blood group RhCcEe antigen; rh polypeptide 1; rhesus C/E antigens; rhesus blood group antigen, RhC antigen; rhesus blood group little e antigen; silenced Rh blood group CcEe antigen; truncated RHCE; truncated RhCcEe antigen"
CD240D,RHD,6007,CD240D DIIIc RH RH30 RHCED RHDVA(TT) RHDel RHPII RHXIII Rh4 RhDCw RhII RhK562-II RhPI,1p36.11,Rh blood group D antigen,"blood group Rh(D) polypeptide; D antigen (DCS); RH polypeptide 2; Rh blood group C antigen; Rh blood group CE antigen; Rh blood group CcEe antigen; Rh blood group antigen Evans; Rh blood group, D anitgen; RhD blood group antigen; RhD polypeptide; Rhesus blood group D antigen allele DIII type 7; Rhesus system D polypeptide; blood group antigen D; blood group protein RHD; rhesus D antigen; truncated Rh blood group D antigen; truncated RhD; truncated rhesus D; truncated rhesus blood group D antigen"
CD241,RHAG,6005,CD241 OHS OHST RH2 RH50A Rh50 Rh50GP SLC42A1,6p12.3,Rh-associated glycoprotein,"ammonium transporter Rh type A; Rh 50 glycoprotein; Rhesus associated polypeptide, 50-KD; Rhesus blood group-associated glycoprotein; erythrocyte membrane glycoprotein Rh50; erythrocyte plasma membrane 50 kDa glycoprotein; rh family type A glycoprotein; rh type A glycoprotein; rhesus blood group family type A glycoprotein; rhesus blood group-associated ammonia channel; truncated Rh-associated glycoprotein"
CD242,ICAM4,3386,CD242 LW,19p13.2,intercellular adhesion molecule 4 (Landsteiner-Wiener blood group),intercellular adhesion molecule 4; CD242 antigen; LW antigen a; Landsteiner-Wiener blood group antigen a; Landsteiner-Wiener blood group glycoprotein; intercellular adhesion molecule 4 (LW blood group)
CD243,ABCB1,5243,ABC20 CD243 CLCS GP170 MDR1 P-GP PGY1,7q21.12,ATP binding cassette subfamily B member 1,"multidrug resistance protein 1; ATP-binding cassette, sub-family B (MDR/TAP), member 1; P glycoprotein; P-glycoprotein 1; colchicin sensitivity; doxorubicin resistance"
CD244,CD244,51744,2B4 NAIL NKR2B4 Nmrk SLAMF4,1q23.3,CD244 molecule,"natural killer cell receptor 2B4; CD244 molecule, natural killer cell receptor 2B4; NK cell activation inducing ligand NAIL; NK cell activation-inducing ligand; NK cell type I receptor protein 2B4; SLAM family member 4; h2B4; signaling lymphocytic activation molecule 4"
CD246,ALK,238,CD246 NBLST3,2p23.2-p23.1,ALK receptor tyrosine kinase,ALK tyrosine kinase receptor; CD246 antigen; anaplastic lymphoma receptor tyrosine kinase; mutant anaplastic lymphoma kinase
CD247,CD247,919,CD3-ZETA CD3H CD3Q CD3Z IMD25 T3Z TCRZ,1q24.2,CD247 molecule,"T-cell surface glycoprotein CD3 zeta chain; CD247 antigen, zeta subunit; CD3Z antigen, zeta polypeptide (TiT3 complex); CD3zeta chain; T-cell antigen receptor complex, zeta subunit of CD3; T-cell receptor T3 zeta chain; TCR zeta chain"
CD248,CD248,57124,CD164L1 TEM1,11q13.2,CD248 molecule,"endosialin; 2610111G01Rik; CD164 sialomucin-like 1; CD248 antigen, endosialin; CD248 molecule, endosialin; tumor endothelial marker 1"
CD249,ENPEP,2028,APA CD249 gp160,4q25,glutamyl aminopeptidase,glutamyl aminopeptidase; AP-A; EAP; aminopeptidase A; differentiation antigen gp160
CD252,TNFSF4,7292,CD134L CD252 GP34 OX-40L OX4OL TNLG2B TXGP1,1q25.1,TNF superfamily member 4,tumor necrosis factor ligand superfamily member 4; CD134 ligand; OX40 antigen ligand; glycoprotein Gp34; tax-transcriptionally activated glycoprotein 1 (34kD); tumor necrosis factor (ligand) superfamily member 4; tumor necrosis factor ligand 2B; tumor necrosis factor superfamily member 4
CD253,TNFSF10,8743,APO2L Apo-2L CD253 TL2 TNLG6A TRAIL,3q26.31,TNF superfamily member 10,"tumor necrosis factor ligand superfamily member 10; Apo-2 ligand; TNF-related apoptosis inducing ligand TRAIL; chemokine tumor necrosis factor ligand superfamily member 10; tumor necrosis factor (ligand) family, member 10; tumor necrosis factor (ligand) superfamily, member 10; tumor necrosis factor apoptosis-inducing ligand splice variant delta; tumor necrosis factor ligand 6A; tumor necrosis factor superfamily member 10"
CD254,TNFSF11,8600,CD254 ODF OPGL OPTB2 RANKL TNLG6B TRANCE hRANKL2 sOdf,13q14.11,TNF superfamily member 11,"tumor necrosis factor ligand superfamily member 11; TNF-related activation-induced cytokine; osteoclast differentiation factor; osteoprotegerin ligand; receptor activator of nuclear factor kappa B ligand; tumor necrosis factor (ligand) superfamily, member 11; tumor necrosis factor ligand 6B; tumor necrosis factor superfamily member 11"
CD256,TNFSF13,8741,APRIL CD256 TALL-2 TALL2 TNLG7B TRDL-1 UNQ383/PRO715 ZTNF2,17p13.1,TNF superfamily member 13,"tumor necrosis factor ligand superfamily member 13; TNF- and APOL-related leukocyte expressed ligand 2; a proliferation-inducing ligand; tumor necrosis factor (ligand) superfamily, member 13; tumor necrosis factor ligand 7B; tumor necrosis factor superfamily member 13; tumor necrosis factor-like protein ZTNF2; tumor necrosis factor-related death ligand-1"
CD257,TNFSF13B,10673,BAFF BLYS CD257 DTL TALL-1 TALL1 THANK TNFSF20 TNLG7A ZTNF4,13q33.3,TNF superfamily member 13b,"tumor necrosis factor ligand superfamily member 13B; ApoL related ligand TALL-1; B-cell-activating factor; B-lymphocyte stimulator; Delta4 BAFF; TNF and ApoL-related leukocyte expressed ligand 1; TNF homolog that activates apoptosis; delta BAFF; dendritic cell-derived TNF-like molecule; tumor necrosis factor (ligand) superfamily, member 13b; tumor necrosis factor (ligand) superfamily, member 20; tumor necrosis factor ligand 7A; tumor necrosis factor superfamily member 13b; tumor necrosis factor-like protein ZTNF4"
CD258,TNFSF14,8740,CD258 HVEML LIGHT LTg,19p13.3,TNF superfamily member 14,"tumor necrosis factor ligand superfamily member 14; herpesvirus entry mediator ligand; tumor necrosis factor (ligand) superfamily, member 14; tumor necrosis factor ligand 1D; tumor necrosis factor superfamily member 14"
CD261,TNFRSF10A,8797,APO2 CD261 DR4 TRAILR-1 TRAILR1,8p21.3,TNF receptor superfamily member 10a,"tumor necrosis factor receptor superfamily member 10A; TNF-related apoptosis-inducing ligand receptor 1; TRAIL receptor 1; TRAIL-R1; cytotoxic TRAIL receptor; death receptor 4; tumor necrosis factor receptor superfamily member 10a variant 2; tumor necrosis factor receptor superfamily, member 10a"
CD262,TNFRSF10B,8795,CD262 DR5 KILLER KILLER/DR5 TRAIL-R2 TRAILR2 TRICK2 TRICK2A TRICK2B TRICKB ZTNFR9,8p21.3,TNF receptor superfamily member 10b,"tumor necrosis factor receptor superfamily member 10B; Fas-like protein; TNF-related apoptosis-inducing ligand receptor 2; apoptosis inducing protein TRICK2A/2B; apoptosis inducing receptor TRAIL-R2; cytotoxic TRAIL receptor-2; death domain containing receptor for TRAIL/Apo-2L; death receptor 5; p53-regulated DNA damage-inducible cell death receptor(killer); tumor necrosis factor receptor superfamily, member 10b; tumor necrosis factor receptor-like protein ZTNFR9"
CD263,TNFRSF10C,8794,CD263 DCR1 DCR1-TNFR LIT TRAIL-R3 TRAILR3 TRID,8p21.3,TNF receptor superfamily member 10c,"tumor necrosis factor receptor superfamily member 10C; TNF-related apoptosis-inducing ligand receptor 3; antagonist decoy receptor for TRAIL/Apo-2L; cytotoxic TRAIL receptor-3; decoy TRAIL receptor without death domain; decoy receptor 1; lymphocyte inhibitor of TRAIL; tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain"
CD264,TNFRSF10D,8793,CD264 DCR2 TRAIL-R4 TRAILR4 TRUNDD,8p21.3,TNF receptor superfamily member 10d,"tumor necrosis factor receptor superfamily member 10D; TNF receptor-related receptor for TRAIL; TNF-related apoptosis-inducing ligand receptor 4; TRAIL receptor 4; TRAIL receptor with a truncated death domain; decoy receptor 2; tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain"
CD265,TNFRSF11A,8792,CD265 FEO LOH18CR1 ODFR OFE OPTB7 OSTS PDB2 RANK TRANCER,18q21.33,TNF receptor superfamily member 11a,"tumor necrosis factor receptor superfamily member 11A; Paget disease of bone 2; loss of heterozygosity, 18, chromosomal region 1; osteoclast differentiation factor receptor; receptor activator of NF-KB; receptor activator of nuclear factor-kappa B; tumor necrosis factor receptor superfamily, member 11a, NFKB activator"
CD266,TNFRSF12A,51330,CD266 FN14 TWEAKR,16p13.3,TNF receptor superfamily member 12A,tumor necrosis factor receptor superfamily member 12A; FGF-inducible 14; fibroblast growth factor-inducible immediate-early response protein 14; tweak-receptor; type I transmembrane protein Fn14
CD267,TNFRSF13B,23495,CD267 CVID CVID2 IGAD2 RYZN TACI TNFRSF14B,17p11.2,TNF receptor superfamily member 13B,tumor necrosis factor receptor superfamily member 13B; transmembrane activator and CAML interactor; tumor necrosis factor receptor 13B
CD268,TNFRSF13C,115650,BAFF-R BAFFR BROMIX CD268 CVID4 prolixin,22q13.2,TNF receptor superfamily member 13C,tumor necrosis factor receptor superfamily member 13C; B cell-activating factor receptor; BAFF receptor; BLyS receptor 3
CD269,TNFRSF17,608,BCM BCMA CD269 TNFRSF13A,16p13.13,TNF receptor superfamily member 17,tumor necrosis factor receptor superfamily member 17; B cell maturation antigen; B-cell maturation factor; B-cell maturation protein
CD270,TNFRSF14,8764,ATAR CD270 HVEA HVEM LIGHTR TR2,1p36.32,TNF receptor superfamily member 14,"tumor necrosis factor receptor superfamily member 14; CD40-like protein; herpes virus entry mediator A; tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator); tumor necrosis factor receptor-like gene2"
CD271,NGFR,4804,CD271 Gp80-LNGFR TNFRSF16 p75(NTR) p75NTR,17q21.33,nerve growth factor receptor,"tumor necrosis factor receptor superfamily member 16; NGF receptor; TNFR superfamily, member 16; low affinity neurotrophin receptor p75NTR; low-affinity nerve growth factor receptor; p75 ICD"
CD272,BTLA,151888,BTLA1 CD272,3q13.2,B and T lymphocyte associated,B- and T-lymphocyte attenuator; B- and T-lymphocyte-associated protein
CD273,PDCD1LG2,80380,B7DC Btdc CD273 PD-L2 PDCD1L2 PDL2 bA574F11.2,9p24.1,programmed cell death 1 ligand 2,programmed cell death 1 ligand 2; B7 dendritic cell molecule; B7-DC; PD-1-ligand 2; PDCD1 ligand 2; butyrophilin B7-DC; programmed death ligand 2
CD274,CD274,29126,B7-H B7H1 PD-L1 PDCD1L1 PDCD1LG1 PDL1,9p24.1,CD274 molecule,programmed cell death 1 ligand 1; B7 homolog 1; CD274 antigen; PDCD1 ligand 1
CD275,ICOSLG,23308,B7-H2 B7H2 B7RP-1 B7RP1 CD275 GL50 ICOS-L ICOSL LICOS,21q22.3,inducible T-cell costimulator ligand,ICOS ligand; B7 homolog 2; B7 homologue 2; B7-like protein Gl50; B7-related protein 1; inducible T-cell co-stimulator ligand; transmembrane protein B7-H2 ICOS ligand
CD276,CD276,80381,4Ig-B7-H3 B7-H3 B7H3 B7RP-2,15q24.1,CD276 molecule,CD276 antigen; B7 homolog 3; costimulatory molecule
CD277,BTN3A1,11119,BT3.1 BTF5 BTN3.1 CD277,6p22.2,butyrophilin subfamily 3 member A1,"butyrophilin subfamily 3 member A1; dJ45P21.3 (butyrophilin, subfamily 3, member A1)"
CD278,ICOS,29851,AILIM CD278 CVID1,2q33.2,inducible T-cell costimulator,inducible T-cell costimulator; activation-inducible lymphocyte immunomediatory molecule; inducible T-cell co-stimulator; inducible costimulator
CD279,PDCD1,5133,CD279 PD-1 PD1 SLEB2 hPD-1 hPD-l hSLE1,2q37.3,programmed cell death 1,programmed cell death protein 1; programmed cell death 1 protein; protein PD-1; systemic lupus erythematosus susceptibility 2
CD280,MRC2,9902,CD280 CLEC13E ENDO180 UPARAP,17q23.2,mannose receptor C type 2,C-type mannose receptor 2; C-type lectin domain family 13 member E; UPAR-associated protein; endocytic receptor (macrophage mannose receptor family); endocytic receptor 180; macrophage mannose receptor 2; urokinase-type plasminogen activator receptor-associated protein
CD281,TLR1,7096,CD281 TIL TIL. LPRS5 rsc786,4p14,toll like receptor 1,toll-like receptor 1; toll/interleukin-1 receptor-like protein
CD282,TLR2,7097,CD282 TIL4,4q31.3,toll like receptor 2,toll-like receptor 2; toll/interleukin-1 receptor-like protein 4
CD283,TLR3,7098,CD283 IIAE2,4q35.1,toll like receptor 3,toll-like receptor 3
CD284,TLR4,7099,ARMD10 CD284 TLR-4 TOLL,9q33.1,toll like receptor 4,toll-like receptor 4; hToll; homolog of Drosophila toll
CD286,TLR6,10333,CD286,4p14,toll like receptor 6,toll-like receptor 6
CD288,TLR8,51311,CD288,Xp22.2,toll like receptor 8,toll-like receptor 8
CD289,TLR9,54106,CD289,3p21.2,toll like receptor 9,toll-like receptor 9
CD290,TLR10,81793,CD290,4p14,toll like receptor 10,toll-like receptor 10
CD292,BMPR1A,657,10q23del ACVRLK3 ALK3 CD292 SKR5,10q23.2,bone morphogenetic protein receptor type 1A,"bone morphogenetic protein receptor type-1A; ALK-3; BMP type-1A receptor; BMPR-1A; activin A receptor, type II-like kinase 3; activin receptor-like kinase 3; bone morphogenetic protein receptor, type IA; serine/threonine-protein kinase receptor R5"
CD293,BMPR1B,658,ALK-6 ALK6 AMDD BDA1D BDA2 CDw293,4q22.3,bone morphogenetic protein receptor type 1B,"bone morphogenetic protein receptor type-1B; BMP type-1B receptor; BMPR-1B; activin receptor-like kinase 6; bone morphogenetic protein receptor, type IB; serine/threonine receptor kinase"
CD294,PTGDR2,11251,CD294 CRTH2 DL1R DP2 GPR44,11q12.2,prostaglandin D2 receptor 2,prostaglandin D2 receptor 2; G-protein coupled receptor 44; chemoattractant receptor homologous molecule expressed on T helper type 2 cells; chemoattractant receptor-homologous molecule expressed on TH2 cells; putative G-protein coupled receptor 44
CD295,LEPR,3953,CD295 LEP-R LEPRD OB-R OBR,1p31.3,leptin receptor,leptin receptor; OB receptor; huB219
CD296,ART1,417,ART2 ARTC1 CD296 RT6,11p15.4,ADP-ribosyltransferase 1,GPI-linked NAD(P)(+)--arginine ADP-ribosyltransferase 1; ADP-ribosyltransferase 2; ADP-ribosyltransferase C2 and C3 toxin-like 1; mono(ADP-ribosyl)transferase 1
CD297,ART4,420,ARTC4 CD297 DO DOK1,12p12.3,ADP-ribosyltransferase 4 (Dombrock blood group),ecto-ADP-ribosyltransferase 4; ADP-ribosyltransferase 4 (DO blood group); ADP-ribosyltransferase C2 and C3 toxin-like 4; Dombrock blood group carrier molecule; NAD(+)--protein-arginine ADP-ribosyltransferase 4; NAD(P)(+)--arginine ADP-ribosyltransferase 4; mono-ADP-ribosyltransferase 4
CD298,ATP1B3,483,ATPB-3 CD298,3q23,ATPase Na+/K+ transporting subunit beta 3,"sodium/potassium-transporting ATPase subunit beta-3; ATPase, Na+/K+ transporting, beta 3 polypeptide; Na, K-ATPase beta-3 polypeptide; sodium pump subunit beta-3; sodium-potassium ATPase subunit beta 3 (non-catalytic); sodium/potassium-dependent ATPase subunit beta-3; sodium/potassium-transporting ATPase beta-3 chain"
CD299,CLEC4M,10332,CD209L CD299 DC-SIGN2 DC-SIGNR DCSIGNR HP10347 L-SIGN LSIGN,19p13.2,C-type lectin domain family 4 member M,C-type lectin domain family 4 member M; CD209 antigen-like protein 1; CD299 antigen; DC-SIGN-related protein; dendritic cell-specific ICAM-3-grabbing non-integrin 2; liver/lymph node-specific ICAM-3 grabbing non-integrin; mannose binding C-type lectin DC-SIGNR
CD300a,CD300A,11314,CLM-8 CMRF-35-H9 CMRF-35H CMRF35-H CMRF35-H9 CMRF35H CMRF35H9 IGSF12 IRC1 IRC1/IRC2 IRC2 IRp60,17q25.1,CD300a molecule,CMRF35-like molecule 8; CD300 antigen-like family member A; CD300a antigen; CMRF35H leukocyte immunoglobulin-like receptor; NK inhibitory receptor; immunoglobulin superfamily member 12; inhibitory receptor protein 60; leukocyte membrane antigen
CD300c,CD300C,10871,LIR CLM-6 CMRF35 IGSF16 CMRF-35 CMRF35A CMRF-35A CMRF35A1 CMRF35-A1LIR CLM-6 CMRF35 IGSF16 CMRF-35 CMRF35A CMRF-35A CMRF35A1 CMRF35-A1,CD300c molecule,17q25.1,-
CD301,CLEC10A,10462,CD301 CLECSF13 CLECSF14 HML HML2 MGL,17p13.1,C-type lectin domain family 10 member A,"C-type lectin domain family 10 member A; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 13 (macrophage-derived); C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 14 (macrophage-derived); macrophage lectin 2 (calcium dependent)"
CD302,CD302,9936,BIMLEC CLEC13A DCL-1 DCL1,2q24.2,CD302 molecule,"CD302 antigen; C-type lectin domain family 13, member A; DEC205-associated C-type lectin 1; type I transmembrane C-type lectin receptor DCL-1"
CD303,CLEC4C,170482,BDCA2 CD303 CLECSF11 CLECSF7 DLEC HECL PRO34150,12p13.31,C-type lectin domain family 4 member C,"C-type lectin domain family 4 member C; BDCA-2; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 11; C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 7; C-type lectin domain family 4, member C; C-type lectin superfamily member 7; blood dendritic cell antigen 2 protein; dendritic cell lectin b; dendritic lectin"
CD304,NRP1,8829,BDCA4 CD304 NP1 NRP VEGF165R,10p11.22,neuropilin 1,neuropilin-1; transmembrane receptor; vascular endothelial cell growth factor 165 receptor
CD305,LAIR1,3903,CD305 LAIR-1,19q13.42,leukocyte associated immunoglobulin like receptor 1,leukocyte-associated immunoglobulin-like receptor 1; immunoglobulin heavy chain variable region; leukocyte-associated Ig-like receptor 1
CD306,LAIR2,3904,CD306,19q13.42,leukocyte associated immunoglobulin like receptor 2,leukocyte-associated immunoglobulin-like receptor 2; LAIR-2; leukocyte-associated Ig-like receptor-2
CD307a,FCRL1,115350,CD307a FCRH1 IFGP1 IRTA5,1q23.1,Fc receptor like 1,"Fc receptor-like protein 1; IFGP family protein 1; fc receptor homolog 1; fcR-like protein 1; hIFGP1; immune receptor translocation-associated protein 5; immunoglobulin superfamily Fc receptor, gp42"
CD307b,FCRL2,79368,CD307b FCRH2 IFGP4 IRTA4 SPAP1 SPAP1A SPAP1B SPAP1C,1q23.1,Fc receptor like 2,"Fc receptor-like protein 2; IFGP family protein 4; SH2 domain containing phosphatase anchor protein 1; fc receptor homolog 2; immune receptor translocation-associated protein 4; immunoglobulin receptor translocation-associated protein 4; immunoglobulin superfamily Fc receptor, gp42"
CD307c,FCRL3,115352,CD307c FCRH3 IFGP3 IRTA3 SPAP2,1q23.1,Fc receptor like 3,Fc receptor-like protein 3; Fc receptor homolog 3; IFGP family protein 3; SH2 domain-containing phosphatase anchor protein 2; fcR-like protein 3; hIFGP3; immune receptor translocation-associated protein 3; immunoglobulin superfamily receptor translocation associated protein 3
CD307d,FCRL4,83417,CD307d FCRH4 IGFP2 IRTA1,1q23.1,Fc receptor like 4,"Fc receptor-like protein 4; IFGP family protein 2; fc receptor homolog 4; fcR-like protein 4; hIFGP2; immune receptor translocation-associated protein 1; immunoglobulin superfamily Fc receptor, gp42; immunoglobulin superfamily receptor translocation associated 1"
CD307e,FCRL5,83416,BXMAS1 CD307 CD307e FCRH5 IRTA2 PRO820,1q23.1,Fc receptor like 5,Fc receptor-like protein 5; fc receptor homolog 5; fcR-like protein 5; immune receptor translocation-associated protein 2; immunoglobulin superfamily receptor translocation associated 2 (IRTA2)
CD309,KDR,3791,CD309 FLK1 VEGFR VEGFR2,4q12,kinase insert domain receptor,vascular endothelial growth factor receptor 2; fetal liver kinase-1; kinase insert domain receptor (a type III receptor tyrosine kinase); protein-tyrosine kinase receptor Flk-1; soluble VEGFR2; tyrosine kinase growth factor receptor
CD312,ADGRE2,30817,CD312 EMR2 VBU,19p13.12,adhesion G protein-coupled receptor E2,"adhesion G protein-coupled receptor E2; EGF-like module-containing mucin-like hormone receptor-like 2; egf-like module containing, mucin-like, hormone receptor-like 2"
CD314,KLRK1,22914,CD314 D12S2489E KLR NKG2-D NKG2D,12p13.2,killer cell lectin like receptor K1,"NKG2-D type II integral membrane protein; NK cell receptor D; NKG2-D-activating NK receptor; killer cell lectin-like receptor subfamily K, member 1"
CD315,PTGFRN,5738,CD315 CD9P-1 EWI-F FPRP SMAP-6,1p13.1,prostaglandin F2 receptor inhibitor,prostaglandin F2 receptor negative regulator; CD9 partner 1; glu-Trp-Ile EWI motif-containing protein F; prostaglandin F2-alpha receptor regulatory protein; prostaglandin F2-alpha receptor-associated protein
CD316,IGSF8,93185,CD316 CD81P3 EWI-2 EWI2 KCT-4 LIR-D1 PGRL,1q23.2,immunoglobulin superfamily member 8,immunoglobulin superfamily member 8; CD81 partner 3; glu-Trp-Ile EWI motif-containing protein 2; keratinocytes-associated transmembrane protein 4; prostaglandin regulatory-like protein
CD317,BST2,684,CD317 TETHERIN,19p13.11,bone marrow stromal cell antigen 2,bone marrow stromal antigen 2; BST-2; HM1.24 antigen; NPC-A-7
CD318,CDCP1,64866,CD318 SIMA135 TRASK,3p21.31,CUB domain containing protein 1,CUB domain-containing protein 1; membrane glycoprotein gp140; subtractive immunization M plus HEp3-associated 135 kDa protein; transmembrane and associated with src kinases
CD319,SLAMF7,57823,19A CD319 CRACC CS1,1q23.3,SLAM family member 7,SLAM family member 7; 19A24 protein; CD2 subset 1; CD2-like receptor activating cytotoxic cells; membrane protein FOAP-12; novel LY9 (lymphocyte antigen 9) like protein; protein 19A
CD320,CD320,51293,8D6 8D6A TCBLR,19p13.2,CD320 molecule,CD320 antigen; 8D6 antigen; FDC-SM-8D6; FDC-signaling molecule 8D6; transcobalamin receptor
CD321,F11R,50848,CD321 JAM JAM1 JAMA JCAM KAT PAM-1,1q23.3,F11 receptor,junctional adhesion molecule A; junctional adhesion molecule 1; platelet F11 receptor; platelet adhesion molecule 1
CD322,JAM2,58494,C21orf43 CD322 JAM-B JAMB PRO245 VE-JAM VEJAM,21q21.3,junctional adhesion molecule 2,junctional adhesion molecule B; JAM-2; JAM-IT/VE-JAM; vascular endothelial junction-associated molecule
CD324,CDH1,999,Arc-1 CD324 CDHE ECAD LCAM UVO,16q22.1,cadherin 1,"cadherin-1; CAM 120/80; E-cadherin 1; cadherin 1, E-cadherin (epithelial); cadherin 1, type 1, E-cadherin (epithelial); calcium-dependent adhesion protein, epithelial; cell-CAM 120/80; epithelial cadherin; uvomorulin"
CD325,CDH2,1000,CD325 CDHN CDw325 NCAD,18q12.1,cadherin 2,"cadherin-2; N-cadherin 1; cadherin 2, type 1, N-cadherin (neuronal); calcium-dependent adhesion protein, neuronal; neural cadherin"
CD326,EPCAM,4072,DIAR5 EGP-2 EGP314 EGP40 ESA HNPCC8 KS1/4 KSA M4S1 MIC18 MK-1 TACSTD1 TROP1,2p21,epithelial cell adhesion molecule,"epithelial cell adhesion molecule; adenocarcinoma-associated antigen; cell surface glycoprotein Trop-1; epithelial glycoprotein 314; human epithelial glycoprotein-2; major gastrointestinal tumor-associated protein GA733-2; membrane component, chromosome 4, surface marker (35kD glycoprotein); tumor-associated calcium signal transducer 1"
CD327,SIGLEC6,946,CD327 CD33L CD33L1 CD33L2 CDW327 OBBP1,19q13.41,sialic acid binding Ig like lectin 6,sialic acid-binding Ig-like lectin 6; CD33 antigen-like 1; obesity-binding protein 1
